placename,year_month,common_name,n_detections,sampling_days
BCAM11,2023-12,Striped Skunk,0,31
BCAM11,2023-12,Brush Rabbit,0,31
BCAM11,2023-12,Californian Sea Lion,0,31
BCAM11,2023-12,Domestic Cattle,0,31
BCAM11,2023-12,Elk,0,31
BCAM11,2023-12,Black-tailed Jackrabbit,0,31
BCAM11,2023-09,American Badger,0,26
BCAM11,2023-09,Bobcat,2,26
BCAM11,2023-09,Coyote,2,26
BCAM11,2023-09,Domestic Dog,0,26
BCAM11,2023-09,Human,1,26
BCAM11,2023-09,Human-Camera Trapper,3,26
BCAM11,2023-09,Mule Deer,18,26
BCAM11,2023-09,North American River Otter,0,26
BCAM11,2023-09,Northern Elephant Seal,0,26
BCAM11,2023-09,Northern Raccoon,1,26
BCAM11,2023-09,Striped Skunk,0,26
BCAM11,2023-09,Brush Rabbit,0,26
BCAM11,2023-09,Californian Sea Lion,0,26
BCAM11,2023-09,Domestic Cattle,0,26
